Date,Open,High,Low,Close,Volume,MA50,MA200,EMA9,EMA21,BB_Upper,BB_Lower,BB_Mid,RSI,RSI_W,RSI_M,MACD,MACD_Signal,MACD_Hist,ADX,ATR,StochRSI_K,StochRSI_D,Williams_R,OBV,OBV_SMA20,Supertrend_Dir
2025-02-05,567.9227081850274,576.0080453124468,562.077877569058,570.4554443359375,385789,575.5212255859375,651.5663555908203,568.3148499831544,563.3171911565852,595.8921575060131,510.8032343396901,553.3476959228516,51.669839458214625,50.46354066901309,86.26764228309419,0.6387393407783293,-5.535197795627962,6.173937136406291,17.02199221902999,21.289896229573355,69.44156947522302,82.443496508924,-39.736381595239386,60959211.0,59282357.45,1.0
2025-02-06,570.845160122948,572.9882767109945,558.2787497095769,560.908935546875,348810,573.7864294433595,651.5663555908203,566.8336670958986,563.0982588284297,594.8217586826056,510.922662704113,552.8722106933593,48.74488014369347,50.46354066901309,86.26764228309419,0.2358256868119497,-4.38099309913998,4.61681878595193,16.331131215344943,20.819869856133657,57.83881985580153,69.87983158118405,-49.43568304022391,60610401.0,59323234.0,1.0
2025-02-07,560.2269676405447,564.8054299921314,551.411027049914,558.03515625,136204,571.7076916503908,651.5663555908203,565.0739649267189,562.6379767758451,595.3386206420664,511.5095238891836,553.424072265625,47.86644955360161,50.46354066901309,86.26764228309419,-0.3117822274344917,-3.5671509247988826,3.255368697364391,15.282152838005869,20.289479362282496,53.98895731609758,60.4231155490407,-52.355457410377035,60474197.0,59391741.25,1.0
2025-02-10,556.7201516098587,565.7796277499662,551.7033145624548,559.5938720703125,216363,570.6811511230469,651.5663555908203,563.9779463554376,562.361239984433,595.9378746409872,512.7311744312784,554.3345245361328,48.409507697988026,44.695730779338206,86.26764228309419,-0.6129246905094305,-2.9763056779409927,2.363380987431562,14.364672037760606,19.845681778370274,50.47176387504041,54.0998470156465,-50.771794215555644,60690560.0,59505981.5,1.0
2025-02-11,555.2588714966611,555.2588714966611,520.5308147861685,526.5217895507812,882838,568.8257409667971,651.5663555908203,556.4867149945063,559.1031081268284,596.6200854930431,509.8852062550037,553.2526458740234,39.102452169027785,44.695730779338206,86.26764228309419,-3.4801064259237364,-3.0770658275375418,-0.40304059838619466,14.753834940710336,21.21835145735411,40.069667731915644,48.17679630768454,-84.37319812751262,59807722.0,59553823.3,-1.0
2025-02-12,527.2524319565083,548.099018406842,518.1929563333977,544.2511596679688,397111,567.4613781738284,651.5663555908203,554.0396039291988,557.7529309942048,596.5863329718088,509.65880252623816,553.1225677490235,45.18641173533586,44.695730779338206,86.26764228309419,-4.272505822658786,-3.3161538265617905,-0.9563519960969957,15.213949619114437,21.838902215646268,37.17848605795792,42.57330588830466,-66.36006798790383,60204833.0,59642916.95,-1.0
2025-02-13,544.2511735668043,546.2481455334121,521.651149234315,525.69384765625,389472,565.7423205566407,651.854829711914,548.370452674609,554.8384688725725,597.1748930718887,506.97370311951767,552.0742980957032,40.61283218628848,44.695730779338206,86.26764228309419,-6.324997409951038,-3.9179225432396403,-2.407074866711398,15.641198963346818,22.035908935892756,22.33134164808352,33.193165145985695,-91.79090191981678,59815361.0,59726078.4,-1.0
2025-02-14,528.7622977534506,529.00583234706,506.649344762377,510.9355773925781,225828,563.5248602294922,652.0680699157713,540.883477618203,550.8472969198458,599.0899603618875,501.96048824651103,550.5252243041992,37.373076199294175,44.695730779338206,86.26764228309419,-9.038293034590424,-4.941996641509797,-4.096296393080627,16.678030160337894,22.05880741080635,15.473039438275052,24.994289048105493,-95.83523344244537,59589533.0,59810282.75,-1.0
2025-02-17,512.445532160738,515.2218624845946,499.6843419388871,510.1076354980469,1492713,561.6924780273438,652.2841433715819,534.7283091941717,547.1436913360459,600.6569335265132,498.24811408090875,549.452523803711,37.193822173609576,39.84407431975408,86.26764228309419,-11.127140606340731,-6.179025434475983,-4.948115171864748,17.90919194183306,21.59300120615643,2.0514595450971673,13.285280210485245,-90.51406124125707,58096820.0,59836515.25,-1.0
2025-02-18,508.5489752748069,539.6727112154864,505.72400939191886,527.0089111328125,876345,559.8129382324217,652.5366345214843,533.1844295819,545.3132567721156,600.8029857655096,496.62576179308405,548.7143737792968,43.184565503206194,39.84407431975408,86.26764228309419,-11.288647164837926,-7.200949780548372,-4.087697384289553,17.43574673272597,22.475551250257222,7.5497191774424275,8.358072720271547,-75.13269788369044,58973165.0,59891721.9,-1.0
