Ticker,Sector,PE_Ratio,EPS_TTM,Market_Cap_Cr,PB_Ratio,ROE_pct,Debt_Equity,Div_Yield,Revenue_Growth,Current_Ratio
360ONE,Financial Services,36.743233,29.17,43567.0,4.419193,14.39,161.977,168.0,26.9,13.022
3MINDIA,Diversified,69.59652,463.96,36375.0,20.667532,28.9,9.6,49.0,16.8,2.182
ABB,Capital Goods,97.49319,73.4,151642.0,19.351942,,1.082,55.0,0.8,
ACC,Construction Materials,11.9034195,113.48,25366.0,1.2340684,10.93,2.085,56.0,17.8,1.974
ACMESOLAR,Power,42.38358,8.16,20937.0,4.1388927,10.41,393.194,6.0,12.5,2.169
AIAENG,Capital Goods,33.775444,136.09,42895.0,5.343941,16.95,0.128,35.0,9.4,19.085
APLAPOLLO,Capital Goods,41.735516,43.33,50212.0,9.481665,25.31,9.396,32.0,13.6,1.343
AUBANK,Financial Services,27.455763,35.04,71996.0,3.6000016,,,10.0,37.1,
AWL,Fast Moving Consumer Goods,23.541046,8.04,24487.0,2.3428564,10.52,10.621,53.0,18.0,1.262
AADHARHFC,Financial Services,18.955223,24.79,20508.0,2.70594,15.75,248.556,0.0,20.9,24.997
AARTIIND,Chemicals,39.8355,11.55,16705.0,2.7928689,7.25,83.392,22.0,13.2,0.831
AAVAS,Financial Services,15.833436,82.13,10311.0,2.0389092,13.92,310.553,0.0,19.2,1603.958
ABBOTINDIA,Healthcare,35.328243,730.86,54866.0,11.492488,34.46,3.602,200.0,6.5,2.554
ACE,Capital Goods,24.929718,34.86,10343.0,5.1426725,22.89,0.393,23.0,7.1,1.334
ACUTAAS,Healthcare,90.91353,34.81,25910.0,15.67265,23.52,2.081,5.0,40.3,3.818
ADANIENSOL,Power,82.117775,18.51,182595.0,7.1836367,9.66,194.5,0.0,16.8,1.154
ADANIENT,Metals & Mining,40.320087,73.73,407864.0,4.7486467,13.66,119.56,4.0,20.3,1.035
ADANIGREEN,Power,146.58086,9.71,234443.0,12.153531,7.58,346.548,0.0,14.3,0.569
ADANIPORTS,Services,30.739788,58.26,412616.0,4.2999315,15.59,64.051,42.0,26.5,1.394
ADANIPOWER,Power,34.695324,6.63,443606.0,6.8312893,20.91,82.332,0.0,-0.1,1.411
ATGL,Oil Gas & Consumable Fuels,124.8406,5.96,81831.0,16.828,14.46,46.363,3.0,16.1,0.638
ABCAPITAL,Financial Services,24.852425,14.23,92720.0,2.6915436,11.18,491.748,0.0,7.7,69.788
ABFRL,Consumer Services,,-6.38,7424.0,1.2713789,-12.69,98.822,0.0,15.7,1.252
ABLBL,Consumer Services,71.49645,1.41,12245.0,8.648765,12.72,213.719,51.0,11.9,1.065
ABREL,Realty,,-29.49,13833.0,3.7390609,-8.91,152.371,16.0,,1.437
ABSLAMC,Financial Services,30.697536,33.69,29906.0,7.3886733,25.1,1.577,232.0,-14.5,1.199
CPPLUS,Capital Goods,110.51547,32.01,41691.0,25.005302,25.42,9.604,0.0,45.5,1.533
AEGISLOG,Oil Gas & Consumable Fuels,29.581213,25.55,26529.0,4.4630256,15.26,47.243,105.0,57.3,1.707
AEGISVOPAK,Oil Gas & Consumable Fuels,66.97203,2.86,21222.0,4.942585,10.79,84.438,0.0,54.2,0.369
AFCONS,Construction,47.774525,6.83,12001.0,2.1961973,4.68,66.542,77.0,-18.9,1.294
AFFLE,Information Technology,45.84287,32.33,20844.0,5.699157,13.79,0.405,0.0,20.3,3.593
AJANTPHARM,Healthcare,34.82221,84.65,36827.0,8.133718,25.39,5.747,191.0,21.5,2.638
ALKEM,Healthcare,27.410389,192.5,63088.0,4.566524,17.56,14.267,100.0,14.6,2.553
ABDL,Fast Moving Consumer Goods,69.90831,8.18,15995.0,9.652291,13.55,68.251,94.0,,1.344
ARE&M,Automobile and Auto Components,17.54952,48.97,15729.0,1.9425904,11.57,5.015,121.0,15.5,1.641
AMBER,Consumer Durables,151.43141,50.3,26863.0,6.131488,5.58,46.566,0.0,10.5,1.131
AMBUJACEM,Construction Materials,22.392332,19.04,105940.0,1.7757554,8.3,1.205,47.0,7.2,1.047
ANANDRATHI,Financial Services,74.30391,23.56,29067.0,14.560425,46.74,8.25,39.0,47.6,3.83
ANANTRAJ,Realty,37.206436,15.84,21209.0,3.5706713,11.13,11.696,13.0,19.6,9.755
ANGELONE,Financial Services,34.319107,9.84,30844.0,5.0279164,15.53,129.314,209.0,33.5,1.324
ANTHEM,Healthcare,71.47651,10.43,41876.0,13.756135,21.71,1.772,27.0,26.4,5.536
ANURAS,Chemicals,87.545456,15.4,15349.0,4.5994816,5.76,40.335,11.0,27.5,1.425
APARINDS,Capital Goods,56.571617,242.33,55075.0,11.348331,19.74,17.716,38.0,26.7,1.448
APOLLOHOSP,Healthcare,61.0404,135.14,118608.0,12.50853,21.5,85.146,24.0,18.1,1.065
APOLLOTYRE,Automobile and Auto Components,18.296349,21.63,25034.0,1.4983946,8.72,21.987,217.0,14.2,1.323
APTUS,Financial Services,13.964419,18.83,13167.0,2.5978582,20.11,156.2,194.0,22.1,183.595
ASAHIINDIA,Automobile and Auto Components,64.500725,13.82,22724.0,5.775598,10.49,55.868,22.0,14.8,1.428
ASHOKLEY,Capital Goods,24.439934,5.91,84842.0,5.4772286,21.64,344.737,240.0,17.4,1.321
ASIANPAINT,Consumer Durables,59.159813,44.99,255153.0,11.9358015,20.89,17.847,103.0,11.2,2.209
ASTERDM,Healthcare,114.78227,6.43,38153.0,8.311842,10.07,45.921,55.0,18.2,1.989
ASTRAL,Capital Goods,77.54255,19.98,41622.0,10.255103,13.8,6.168,24.0,24.2,1.762
ATHERENERG,Automobile and Auto Components,,-8.89,37858.0,14.694118,-33.74,25.819,0.0,73.7,2.419
ATUL,Chemicals,29.264374,230.28,19841.0,3.188755,11.53,2.907,45.0,15.0,3.614
AUROPHARMA,Healthcare,24.251863,60.35,84212.0,2.2437046,9.93,21.31,28.0,5.6,1.813
AIIL,Financial Services,7.322732,61.63,38326.0,2.3538308,,24.59,4.0,-73.6,
DMART,Consumer Services,91.09375,45.44,269950.0,11.010299,12.94,9.913,0.0,18.9,1.977
AXISBANK,Financial Services,14.837221,84.47,389783.0,1.8108186,13.15,,8.0,-11.2,
BEML,Capital Goods,101.8827,17.05,14468.0,5.1677566,,23.787,73.0,23.7,
BLS,Consumer Services,15.83584,16.63,10842.0,4.3997264,30.14,15.468,111.0,17.6,2.914
BSE,Financial Services,66.91108,60.28,163808.0,20.834108,36.0,0.0,25.0,105.1,1.53
BAJAJ-AUTO,Automobile and Auto Components,26.934574,384.71,289381.0,7.453497,28.05,56.289,146.0,48.8,1.761
BAJFINANCE,Financial Services,28.659456,30.51,543691.0,4.7684493,17.91,313.407,62.0,26.8,7.201
BAJAJFINSV,Financial Services,28.006554,61.05,273313.0,3.5037746,14.6,256.36,7.0,5.3,2.651
BAJAJHLDNG,Financial Services,11.69197,866.15,112707.0,1.540554,12.62,0.012,157.0,-48.3,3.446
BAJAJHFL,Financial Services,27.172638,3.07,69478.0,3.0982358,12.06,460.504,0.0,42.3,298.596
BALKRISIND,Automobile and Auto Components,34.115173,64.25,42373.0,3.8679814,,35.269,75.0,6.9,
BALRAMCHIN,Fast Moving Consumer Goods,28.612904,18.6,10748.0,2.5977197,9.54,76.606,132.0,6.7,1.126
BANDHANBNK,Financial Services,27.03158,7.6,33097.0,1.292368,4.88,,72.0,119.3,
BANKBARODA,Financial Services,7.066944,38.39,140299.0,0.8456297,12.74,,316.0,-7.6,
BANKINDIA,Financial Services,5.876735,23.77,63596.0,0.7071336,12.06,,332.0,10.1,
MAHABANK,Financial Services,8.760965,9.12,61456.0,1.8487239,22.66,,276.0,38.2,
BATAINDIA,Consumer Durables,62.923447,10.45,8451.0,5.548758,,86.9,135.0,5.0,
