Ticker,Sector,Close,Change_1D_pct,Volume_Today,Avg_Vol_20D,Vol_Ratio
360ONE,Financial Services,1141.3,0.39,1011855,956578,1.06
3MINDIA,Diversified,33250.0,0.57,3181,5443,0.58
ABB,Capital Goods,7229.0,0.91,239729,347076,0.69
ACC,Construction Materials,1358.9,0.66,175498,174126,1.01
ACMESOLAR,Power,331.9,0.03,1091294,3139634,0.35
AIAENG,Capital Goods,4532.9,0.7,51735,146878,0.35
APLAPOLLO,Capital Goods,1860.9,0.34,290603,799137,0.36
AUBANK,Financial Services,1025.35,0.44,908553,1701496,0.53
AWL,Fast Moving Consumer Goods,192.43,-0.6,3848941,2278227,1.69
AADHARHFC,Financial Services,486.45,-0.3,273525,359316,0.76
AARTIIND,Chemicals,486.45,1.51,1046411,1674685,0.62
AAVAS,Financial Services,1467.6,1.05,95090,196718,0.48
ABBOTINDIA,Healthcare,26145.0,0.73,7469,7744,0.96
ACE,Capital Goods,976.45,1.49,746178,338147,2.21
ACUTAAS,Healthcare,3136.3,4.55,360823,412150,0.88
ADANIENSOL,Power,1523.3,2.17,1941750,3198761,0.61
ADANIENT,Metals & Mining,3013.4,2.08,1774128,2203137,0.81
ADANIGREEN,Power,1506.8,2.8,2122195,3443459,0.62
ADANIPORTS,Services,1842.1,0.74,1643509,2002122,0.82
ADANIPOWER,Power,230.57,4.61,49536354,38579124,1.28
ATGL,Oil Gas & Consumable Fuels,724.35,3.09,5128665,12100772,0.42
ABCAPITAL,Financial Services,370.6,-0.5,1266695,2771205,0.46
ABFRL,Consumer Services,61.54,-0.29,4062861,4977497,0.82
ABLBL,Consumer Services,99.31,0.01,737845,1225570,0.6
ABREL,Realty,1319.6,1.55,133277,182241,0.73
ABSLAMC,Financial Services,1167.1,6.3,541613,400892,1.35
CPPLUS,Capital Goods,3513.7,4.94,312779,461508,0.68
AEGISLOG,Oil Gas & Consumable Fuels,1006.9,-0.0,1028332,5001980,0.21
AEGISVOPAK,Oil Gas & Consumable Fuels,243.1,2.11,1377322,1019877,1.35
AFCONS,Construction,319.15,0.02,314053,2125694,0.15
AFFLE,Information Technology,1489.4,0.6,272108,227186,1.2
AJANTPHARM,Healthcare,3073.6,-0.19,86652,122472,0.71
ALKEM,Healthcare,5372.0,0.46,75504,182858,0.41
ABDL,Fast Moving Consumer Goods,632.8,0.4,293877,389326,0.75
ARE&M,Automobile and Auto Components,851.7,-0.42,304189,1278998,0.24
AMBER,Consumer Durables,7965.5,1.29,444690,365939,1.22
AMBUJACEM,Construction Materials,430.0,0.83,3210454,3386822,0.95
ANANDRATHI,Financial Services,1805.3,1.02,829779,803885,1.03
ANANTRAJ,Realty,528.75,-0.4,1619924,3223258,0.5
ANGELONE,Financial Services,352.8,1.18,9018945,6775289,1.33
ANTHEM,Healthcare,798.1,3.99,1869399,513081,3.64
ANURAS,Chemicals,1287.3,-0.56,173775,309277,0.56
APARINDS,Capital Goods,15812.0,-1.81,186059,173583,1.07
APOLLOHOSP,Healthcare,8411.5,-0.19,304236,407762,0.75
APOLLOTYRE,Automobile and Auto Components,428.0,-0.37,929904,1447445,0.64
APTUS,Financial Services,272.75,0.98,376679,724288,0.52
ASAHIINDIA,Automobile and Auto Components,861.3,-2.56,83548,122596,0.68
ASHOKLEY,Capital Goods,158.45,-0.7,11453884,31793774,0.36
ASIANPAINT,Consumer Durables,2755.0,0.62,600836,1362105,0.44
ASTERDM,Healthcare,788.5,2.94,355003,722787,0.49
ASTRAL,Capital Goods,1565.7,0.03,618122,654840,0.94
ATHERENERG,Automobile and Auto Components,969.05,-2.14,2991252,4250051,0.7
ATUL,Chemicals,6500.0,0.7,33171,17858,1.86
AUROPHARMA,Healthcare,1443.7,1.5,944549,1302352,0.73
AIIL,Financial Services,551.55,0.51,240367,1700109,0.14
DMART,Consumer Services,4306.7,0.45,433133,513381,0.84
AXISBANK,Financial Services,1360.1,0.68,5186455,7235630,0.72
BEML,Capital Goods,1773.4,-1.93,252427,221078,1.14
BLS,Consumer Services,266.85,0.85,549240,1340926,0.41
BSE,Financial Services,4014.5,0.38,4640470,3867637,1.2
