Sector,Sector_Median_PE
Automobile and Auto Components,42.02921
Capital Goods,54.893046999999996
Chemicals,36.0260585
Construction,25.719284
Construction Materials,39.104875
Consumer Durables,55.709843
Consumer Services,55.530678
Diversified,35.48545
Fast Moving Consumer Goods,46.5423435
Financial Services,24.040667499999998
Healthcare,46.986511
Information Technology,28.199722
Media Entertainment & Publication,40.30834
Metals & Mining,19.37417
Oil Gas & Consumable Fuels,11.74434
Power,28.466774
Realty,34.779185
Services,30.383644
Telecommunication,43.607834
Textiles,42.857143
