Sector,Total_Stocks,BUY_Count,SELL_Count,Avg_Score,Avg_RSI,Avg_PE,Avg_ADX,Net_Signal_Score,Heatmap_Color
Healthcare,48,34,4,73.08333333333333,56.99583333333334,60.63695652173914,27.258333333333336,30,green
Automobile and Auto Components,37,27,2,74.08108108108108,62.32432432432432,45.28235294117647,27.85675675675676,25,green
Financial Services,95,49,26,59.83157894736842,51.42842105263158,36.229787234042554,22.185263157894735,23,green
Capital Goods,61,33,14,61.67213114754098,55.6688524590164,62.669999999999995,23.118032786885248,19,green
Information Technology,27,20,2,70.37037037037037,59.06666666666666,32.01851851851852,23.91111111111111,18,green
Consumer Services,25,16,6,65.68,54.996,96.41,24.808000000000003,10,green
Consumer Durables,15,10,1,70.46666666666667,53.733333333333334,62.24285714285715,23.866666666666667,9,green
Chemicals,26,14,7,63.84615384615385,53.01923076923077,44.175000000000004,21.15,7,green
Construction Materials,10,7,0,73.1,53.86,45.92999999999999,17.61,7,green
Realty,11,8,1,73.36363636363636,53.154545454545456,38.69,20.90909090909091,7,green
Metals & Mining,17,9,2,64.76470588235294,58.32941176470588,35.65882352941177,21.147058823529413,7,green
Fast Moving Consumer Goods,28,13,7,57.142857142857146,52.614285714285714,49.19642857142857,24.710714285714285,6,green
Services,14,7,2,59.07142857142857,52.135714285714286,103.70769230769231,23.485714285714288,5,green
Oil Gas & Consumable Fuels,17,8,5,59.35294117647059,50.55882352941177,27.36470588235294,20.805882352941175,3,green
Media Entertainment & Publication,5,3,1,67.6,50.64,40.92,29.98,2,green
Other,3,1,0,63.666666666666664,53.63333333333333,,33.36666666666667,1,amber
Diversified,3,2,1,61.666666666666664,53.86666666666667,41.33333333333333,27.46666666666667,1,amber
Construction,13,3,5,49.76923076923077,49.24615384615385,28.73846153846154,22.284615384615385,-2,red
Telecommunication,10,1,4,42.2,45.58,59.455555555555556,22.31,-3,red
Textiles,5,0,4,37.2,47.0,45.78,13.8,-4,red
Power,17,3,9,39.1764705882353,43.57647058823529,42.6625,17.235294117647058,-6,red
