Ticker,Close,Signal,Score,Target,StopLoss,RSI,RSI_Weekly,RSI_Monthly,ADX,Vol_Ratio,Return_1D_pct,Pct_vs_MA50,Pct_vs_MA200,PE_Ratio,MACD,MACD_Signal_Line,MACD_Hist,ATR,StochRSI_K,Williams_R,Supertrend_Dir,BB_PctB,Pct_from_52W_High,Pct_from_52W_Low,Pivot,R1,R2,S1,S2,Trend_Phase,Buy_Rules,Sell_Rules,Rules_Fired,ROE_pct,Debt_Equity,Div_Yield,Sector
AEGISVOPAK,298.86,STRONG BUY,100,336.62,276.21,66.2,65.5,50.0,47.5,0.64,2.13,25.46,29.45,105.9,16.2712,16.3919,-0.1206,15.1,35.0,-25.7,1,76.6,-4.1,89.3,298.88,305.05,311.25,292.68,286.51,Markup,"Golden Cross, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",None,"Golden Cross, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",11.6,84.44,7.0,Oil Gas & Consumable Fuels
AJANTPHARM,3379.1,STRONG BUY,100,3641.43,3221.7,53.1,66.3,82.0,42.6,0.58,0.28,5.26,18.08,40.0,65.1767,78.9214,-13.7447,104.93,5.1,-63.9,1,44.1,-6.1,46.7,3403.47,3435.93,3492.77,3346.63,3314.17,Markup,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull",None,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull",25.4,5.75,166.0,Healthcare
SBIN,1018.7,STRONG BUY,100,1066.32,990.13,46.8,50.2,49.6,11.3,0.33,0.36,0.86,0.94,11.2,0.769,4.3048,-3.5358,19.05,6.2,-73.0,1,24.2,-16.0,31.8,1019.43,1022.97,1027.23,1015.17,1011.63,Accumulation,"Value+Momentum, Golden Cross, Supertrend Bull, StochRSI Reversal, OBV Confirm",None,"Value+Momentum, Golden Cross, Supertrend Bull, StochRSI Reversal, OBV Confirm",15.5,,171.0,Financial Services
SHYAMMETL,1034.15,STRONG BUY,100,1114.84,985.74,59.7,65.9,67.1,29.4,0.28,0.65,5.83,18.12,25.8,22.7374,20.7423,1.9951,32.28,65.2,-31.1,1,70.2,-5.0,38.9,1031.57,1047.48,1060.82,1018.23,1002.32,Markup,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",None,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",,8.13,53.0,Capital Goods
SUNPHARMA,1970.0,STRONG BUY,100,2047.61,1923.43,65.7,65.4,66.9,34.7,1.91,1.49,5.69,11.88,41.3,29.2358,29.6661,-0.4303,31.05,22.5,-6.4,1,83.2,-0.3,28.4,1959.83,1986.67,2003.33,1943.17,1916.33,Markup,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, StochRSI Reversal, OBV Confirm, Rel Strong, Near 52W High",None,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, StochRSI Reversal, OBV Confirm, Rel Strong, Near 52W High",14.7,5.52,82.0,Healthcare
ANANDRATHI,2044.4,STRONG BUY,100,2176.55,1965.11,56.2,69.6,77.0,35.3,0.16,0.11,7.1,23.71,74.2,42.3826,57.2587,-14.8762,52.86,0.6,-75.7,1,39.5,-6.1,61.6,2047.53,2061.87,2079.33,2030.07,2015.73,Markup,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, StochRSI Reversal, OBV Confirm",None,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, StochRSI Reversal, OBV Confirm",,8.25,34.0,Financial Services
PNBHOUSING,1069.8,STRONG BUY,100,1143.23,1025.74,50.2,59.0,71.1,19.1,0.8,1.12,2.12,14.23,12.2,9.8149,16.0009,-6.186,29.37,5.8,-70.1,1,35.1,-5.6,46.6,1068.97,1086.33,1102.87,1052.43,1035.07,Markup,"Value+Momentum, Supertrend Bull, EMA Ribbon Bull, StochRSI Reversal, OBV Confirm, Rel Strong",None,"Value+Momentum, Supertrend Bull, EMA Ribbon Bull, StochRSI Reversal, OBV Confirm, Rel Strong",12.7,277.42,76.0,Financial Services
PHOENIXLTD,2019.4,STRONG BUY,100,2152.85,1939.33,51.2,62.0,67.5,34.4,0.25,0.43,5.88,14.03,57.7,37.3076,57.0127,-19.7052,53.38,1.7,-78.5,1,27.7,-6.9,44.2,2028.1,2044.8,2070.2,2002.7,1986.0,Markup,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, StochRSI Reversal, Rel Strong",None,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, StochRSI Reversal, Rel Strong",11.1,37.21,12.0,Realty
NYKAA,324.95,STRONG BUY,100,343.43,313.86,63.1,69.8,75.5,47.6,0.36,0.67,10.15,21.69,457.6,8.5111,10.1682,-1.6571,7.39,3.6,-44.0,1,63.6,-3.0,62.4,325.48,327.32,329.68,323.12,321.28,Markup,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, StochRSI Reversal, OBV Confirm, Rel Strong",None,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, StochRSI Reversal, OBV Confirm, Rel Strong",14.3,82.41,0.0,Consumer Services
PRESTIGE,1633.4,STRONG BUY,100,1763.03,1555.62,52.1,56.0,50.4,27.2,0.53,2.55,7.31,7.85,58.9,30.8513,47.9959,-17.1446,51.85,6.3,-66.6,1,32.1,-9.5,49.9,1629.3,1653.9,1674.4,1608.8,1584.2,Markup,"Golden Cross, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, StochRSI Reversal, Rel Strong",None,"Golden Cross, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, StochRSI Reversal, Rel Strong",8.0,105.49,11.0,Realty
